Index,Dark,Highlight
01,700E25,BB546C
02,790F12,CA5A5D
03,7A230F,CC715B
04,7A330F,CC815B
05,7A3E0F,CC8D5B
06,7A470F,CC975B
07,7A4F0F,CC9F5B
08,7A560F,CCA65B
09,7A5C0F,CCAC5B
10,7A610F,CCB25B
11,7A670F,CCB85B
12,7A6D0F,CCBE5B
13,7A730F,CCC45B
14,7A790F,CCCB5B
15,6C770E,BCC859
16,5F750E,ACC357
17,52720E,9DBF55
18,436F0D,8CBA53
19,306B0D,74B250
20,0F630B,4CA447
21,0A5829,3F9261
22,095139,3B876E
23,094A47,367B78
24,0C394D,3D6C81
25,0F304F,416285
26,112751,455A88
27,141B54,49528C
28,191555,4F4A8E
29,211354,57488D
30,281153,5E468B
31,301052,65448A
32,380E51,6E4188
33,440C50,793E86
34,560A4A,904083
35,610C3E,A2497D
36,690D32,AF4E75
