Name,Creator,Mission Link,Sequence Type,Series Type,Series Name,Series Index,Difficulty,Field Trip Waypoints,FT Qty,Passphrases,Trace Link
Edinburgh #1 - 18,gigitrix,https://www.ingress.com/mission/7176b31364aa486d8590b1e0b7ca1a4e.1c,Sequential,Banner,Edinburgh,1,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.952197,-3.17503&z=18&pls=55.952257,-3.174327,55.952359,-3.175461_55.952359,-3.175461,55.952501,-3.175715_55.952501,-3.175715,55.952306,-3.175824_55.952306,-3.175824,55.952131,-3.176426_55.952131,-3.176426,55.951924,-3.176555"
Edinburgh #2 - 18,gigitrix,https://www.ingress.com/mission/524ef633bc8e4da88099a2acb3594d26.1c,Sequential,Banner,Edinburgh,2,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.950697,-3.176749&z=17&pls=55.952172,-3.176964,55.952026,-3.177876_55.952026,-3.177876,55.951474,-3.178233_55.951474,-3.178233,55.952016,-3.179027_55.952016,-3.179027,55.951633,-3.179022_55.951633,-3.179022,55.951673,-3.17952"
Edinburgh #3 - 18,gigitrix,https://www.ingress.com/mission/7c7f9d0c527e4e87ab64dbc746104d1a.1c,Sequential,Banner,Edinburgh,3,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.950523,-3.178412&z=17&pls=55.951421,-3.179473,55.95173,-3.180136_55.95173,-3.180136,55.951432,-3.180174_55.951432,-3.180174,55.951239,-3.180769_55.951239,-3.180769,55.95101,-3.181342_55.95101,-3.181342,55.950635,-3.181248"
Edinburgh #4 - 18,gigitrix,https://www.ingress.com/mission/6a033ff10062411dba6887617639429e.1c,Sequential,Banner,Edinburgh,4,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.950319,-3.179163&z=17&pls=55.950455,-3.180318,55.949875,-3.179529_55.949875,-3.179529,55.949554,-3.179876_55.949554,-3.179876,55.950252,-3.180881_55.950252,-3.180881,55.950924,-3.181867_55.950924,-3.181867,55.951325,-3.18263"
Edinburgh #5 - 18,gigitrix,https://www.ingress.com/mission/e087b789db0f411c90eb4b31d02d02a7.1c,Sequential,Banner,Edinburgh,5,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.950493,-3.18485&z=17&pls=55.950807,-3.183066,55.950786,-3.183527_55.950786,-3.183527,55.950992,-3.184145_55.950992,-3.184145,55.951421,-3.185509_55.951421,-3.185509,55.951218,-3.187092_55.951218,-3.187092,55.951379,-3.187399"
Edinburgh #6 - 18,gigitrix,https://www.ingress.com/mission/e0b3a820aa654d59b1ef2a3a16924881.1c,Sequential,Banner,Edinburgh,6,All Hacks,Yes (close),3,No,"https://www.ingress.com/intel?ll=55.95056,-3.18491&z=20&pls=55.950817,-3.184771,55.950578,-3.184978_55.950578,-3.184978,55.950501,-3.185324&pll=55.950817,-3.184771"
Edinburgh #7 - 18,gigitrix,https://www.ingress.com/mission/c0f352ee3e934ae3bdbfab676f2d57a5.1c,Sequential,Banner,Edinburgh,7,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.949925,-3.183854&z=18&pls=55.950496,-3.183967,55.949942,-3.183557_55.949942,-3.183557,55.949661,-3.183424_55.949661,-3.183424,55.949504,-3.184356_55.949504,-3.184356,55.950116,-3.184674_55.950116,-3.184674,55.950479,-3.186043"
Edinburgh #8 - 18,gigitrix,https://www.ingress.com/mission/b726f7702a864b66b10d14b2c075ef95.1c,Sequential,Banner,Edinburgh,8,All Hacks,Yes (close),2,No,"https://www.ingress.com/intel?ll=55.949091,-3.184933&z=17&pls=55.950339,-3.187014,55.950101,-3.187288_55.950101,-3.187288,55.948861,-3.186372_55.948861,-3.186372,55.948677,-3.186442"
Edinburgh #9 - 18,gigitrix,https://www.ingress.com/mission/ee9c5ba2c6ad49a69b467fb8028dd5b7.1c,Sequential,Banner,Edinburgh,9,All Hacks,Yes (close),2,No,"https://www.ingress.com/intel?ll=55.949681,-3.186939&z=18&pls=55.949325,-3.187265,55.949765,-3.187836_55.949765,-3.187836,55.949896,-3.187979_55.949896,-3.187979,55.950059,-3.187816"
Edinburgh #10 - 18,gigitrix,https://www.ingress.com/mission/805cf323cf6f460faff4a3fbaa55cd73.1c,Sequential,Banner,Edinburgh,10,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.949348,-3.188296&z=18&pls=55.949857,-3.189013,55.948859,-3.188548_55.948859,-3.188548,55.948459,-3.189176_55.948459,-3.189176,55.948564,-3.189446_55.948564,-3.189446,55.949169,-3.18959_55.949169,-3.18959,55.95004,-3.189366"
Edinburgh #11 - 18,gigitrix,https://www.ingress.com/mission/8b348aff5b2b4b6a969c135e64619df8.1c,Sequential,Banner,Edinburgh,11,All Hacks,Yes (close),1,No,"https://www.ingress.com/intel?ll=55.949648,-3.189546&z=18&pls=55.95002,-3.190268,55.949783,-3.189962_55.949783,-3.189962,55.949663,-3.190264_55.949663,-3.190264,55.949519,-3.190011_55.949519,-3.190011,55.949127,-3.190433"
Edinburgh #12 - 18,gigitrix,https://www.ingress.com/mission/3f53fcd4c6bb4ebdac5c51045bce503e.1c,Sequential,Banner,Edinburgh,12,All Hacks,Yes (close),3,No,"https://www.ingress.com/intel?ll=55.949141,-3.191023&z=18&pls=55.949237,-3.190935,55.949462,-3.191429_55.949462,-3.191429,55.949298,-3.191943"
Edinburgh #13 - 18,gigitrix,https://www.ingress.com/mission/422935db155543ff8ddbb2c5d4a6c90d.1c,Sequential,Banner,Edinburgh,13,All Hacks,Yes (close),2,No,"https://www.ingress.com/intel?ll=55.948931,-3.191876&z=18&pls=55.949572,-3.192333,55.948969,-3.192575_55.948969,-3.192575,55.948527,-3.192016_55.948527,-3.192016,55.948321,-3.192194"
Edinburgh #14 - 18,gigitrix,https://www.ingress.com/mission/2f59bc3fb3d44b0486a4532553409c22.1c,Sequential,Banner,Edinburgh,14,All Hacks,Yes (close),1,No,"https://www.ingress.com/intel?ll=55.947913,-3.192535&z=18&pls=55.948139,-3.192118,55.94806,-3.192511_55.94806,-3.192511,55.947778,-3.193704_55.947778,-3.193704,55.948025,-3.194256_55.948025,-3.194256,55.948171,-3.194655"
Edinburgh #15 18,gigitrix,https://www.ingress.com/mission/18aeeb98ba2e4aa4a81e68a81cf593ad.1c,Sequential,Banner,Edinburgh,15,All Hacks,Yes (close),1,No,"https://www.ingress.com/intel?ll=55.948851,-3.193491&z=18&pls=55.948471,-3.194166,55.948828,-3.193548_55.948828,-3.193548,55.948813,-3.19317_55.948813,-3.19317,55.949458,-3.193101_55.949458,-3.193101,55.949458,-3.193186"
Edinburgh #16 18,gigitrix,https://www.ingress.com/mission/f4ee52c287cf4334a4fe8b646c7177a4.1c,Sequential,Banner,Edinburgh,16,All Hacks,Yes (close),1,No,"https://www.ingress.com/intel?ll=55.949705,-3.193562&z=18&pls=55.949909,-3.192983,55.950064,-3.193789_55.950064,-3.193789,55.950115,-3.194584_55.950115,-3.194584,55.949582,-3.193522_55.949582,-3.193522,55.949602,-3.194273"
Edinburgh #17 - 18,gigitrix,https://www.ingress.com/mission/def4b565ac5c4ca2bd3e7e61ab0dc1ae.1c,Sequential,Banner,Edinburgh,17,All Hacks,Yes (close),2,No,"https://www.ingress.com/intel?ll=55.949369,-3.19526&z=19&pls=55.949611,-3.195093,55.949827,-3.195281_55.949827,-3.195281,55.949538,-3.196139_55.949538,-3.196139,55.949141,-3.195492"
Edinburgh #18 ,gigitrix,https://www.ingress.com/mission/02fd4b7a8e944840a8178923fae892f6.1c,Sequential,Banner,Edinburgh,18,All Hacks,Yes (close),1,No,"https://www.ingress.com/intel?ll=55.948465,-3.194985&z=18&pls=55.948855,-3.194671,55.948687,-3.195068_55.948687,-3.195068,55.948307,-3.195751_55.948307,-3.195751,55.948828,-3.195749_55.948828,-3.195749,55.948877,-3.196369"
1 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/af9d0933f447414291811e8df6965ddd.1c,Any Order,Banner,Edinburgh Banner,1,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.952451,-3.188504&z=15&pls=55.951171,-3.202672,55.95156,-3.20012_55.95156,-3.20012,55.951931,-3.196687_55.951931,-3.196687,55.952306,-3.195828_55.952306,-3.195828,55.952412,-3.195111_55.952412,-3.195111,55.952672,-3.193751_55.952672,-3.193751,55.952786,-3.193058_55.952786,-3.193058,55.953004,-3.191631_55.953004,-3.191631,55.953189,-3.190717_55.953189,-3.190717,55.95313,-3.189641"
2 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/ae2113dfdb1e4672bfb92f81d977588e.1c,Any Order,Banner,Edinburgh Banner,2,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.951349,-3.206503&z=17&pls=55.951023,-3.206343,55.951007,-3.207936_55.951007,-3.207936,55.951558,-3.208849_55.951558,-3.208849,55.952422,-3.207951_55.952422,-3.207951,55.952344,-3.207348_55.952344,-3.207348,55.952531,-3.206799"
3 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/7e838e2639044ef2840982ace8e6754f.1c,Any Order,Banner,Edinburgh Banner,3,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.951292,-3.200477&z=16&pls=55.953266,-3.194439,55.953094,-3.194965_55.953094,-3.194965,55.952677,-3.197019_55.952677,-3.197019,55.952633,-3.198132_55.952633,-3.198132,55.952405,-3.199659_55.952405,-3.199659,55.95216,-3.200685_55.95216,-3.200685,55.951861,-3.202402_55.951861,-3.202402,55.951849,-3.202841_55.951849,-3.202841,55.951652,-3.203926_55.951652,-3.203926,55.951596,-3.204251_55.951596,-3.204251,55.951539,-3.204639_55.951539,-3.204639,55.951342,-3.205397_55.951342,-3.205397,55.951141,-3.206023"
4 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/034f0d27555c4e6bb968649377a85e44.1c,Any Order,Banner,Edinburgh Banner,4,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.954662,-3.191955&z=17&pls=55.954719,-3.194251,55.954872,-3.192203_55.954872,-3.192203,55.954464,-3.192064_55.954464,-3.192064,55.954464,-3.191676_55.954464,-3.191676,55.954093,-3.19182_55.954093,-3.19182,55.953713,-3.192026"
5 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/f86e1a8e9ca048aa9abf3a1dd1136a3b.1c,Any Order,Banner,Edinburgh Banner,5,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.952175,-3.200023&z=16&pls=55.953984,-3.194476,55.954092,-3.194752_55.954092,-3.194752,55.95399,-3.195333_55.95399,-3.195333,55.953955,-3.195784_55.953955,-3.195784,55.953679,-3.195634_55.953679,-3.195634,55.953825,-3.196282_55.953825,-3.196282,55.95337,-3.197365_55.95337,-3.197365,55.953163,-3.198655_55.953163,-3.198655,55.953005,-3.199732_55.953005,-3.199732,55.953173,-3.200335_55.953173,-3.200335,55.952859,-3.200499_55.952859,-3.200499,55.952769,-3.201158_55.952769,-3.201158,55.952693,-3.2015_55.952693,-3.2015,55.952826,-3.202157_55.952826,-3.202157,55.952763,-3.202495_55.952763,-3.202495,55.952492,-3.202591_55.952492,-3.202591,55.952754,-3.202879_55.952754,-3.202879,55.952472,-3.203522_55.952472,-3.203522,55.952415,-3.204693_55.952415,-3.204693,55.951853,-3.206325"
6 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/f22a7b3e9ba04e949b4b49296768cc40.1c,Any Order,Banner,Edinburgh Banner,6,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.952645,-3.198442&z=15&pls=55.953212,-3.207634,55.953594,-3.206932_55.953594,-3.206932,55.953466,-3.205999_55.953466,-3.205999,55.953842,-3.203986_55.953842,-3.203986,55.954002,-3.203139_55.954002,-3.203139,55.954201,-3.201979_55.954201,-3.201979,55.954344,-3.201002_55.954344,-3.201002,55.954599,-3.199718_55.954599,-3.199718,55.954788,-3.198546_55.954788,-3.198546,55.955099,-3.196602_55.955099,-3.196602,55.955222,-3.195823_55.955222,-3.195823,55.955276,-3.194583_55.955276,-3.194583,55.955437,-3.194326_55.955437,-3.194326,55.955606,-3.19362_55.955606,-3.19362,55.955839,-3.193381_55.955839,-3.193381,55.955613,-3.192968_55.955613,-3.192968,55.955783,-3.19233_55.955783,-3.19233,55.956382,-3.190296_55.956382,-3.190296,55.956637,-3.188943_55.956637,-3.188943,55.956807,-3.188101_55.956807,-3.188101,55.956557,-3.187757"
7 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/d0e204f0e40e4cb4a326ec068739d791.1c,Any Order,Banner,Edinburgh Banner,7,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.949739,-3.203024&z=18&pls=55.950428,-3.205235,55.950516,-3.204586_55.950516,-3.204586,55.950599,-3.203729_55.950599,-3.203729,55.950847,-3.202675_55.950847,-3.202675,55.95099,-3.201922_55.95099,-3.201922,55.951038,-3.201055_55.951038,-3.201055,55.951419,-3.199446_55.951419,-3.199446,55.951554,-3.198679_55.951554,-3.198679,55.951597,-3.197781_55.951597,-3.197781,55.951776,-3.197395_55.951776,-3.197395,55.951705,-3.197086_55.951705,-3.197086,55.951931,-3.196687_55.951931,-3.196687,55.952019,-3.195594_55.952019,-3.195594,55.952197,-3.194426_55.952197,-3.194426,55.952252,-3.1936_55.952252,-3.1936,55.952428,-3.193186_55.952428,-3.193186,55.952313,-3.192736_55.952313,-3.192736,55.952507,-3.192778_55.952507,-3.192778,55.952638,-3.192399_55.952638,-3.192399,55.952501,-3.192188_55.952501,-3.192188,55.952204,-3.192105_55.952204,-3.192105,55.95145,-3.195379_55.95145,-3.195379,55.951229,-3.19578_55.951229,-3.19578,55.951477,-3.19717_55.951477,-3.19717,55.951171,-3.197211_55.951171,-3.197211,55.950939,-3.197672_55.950939,-3.197672,55.950784,-3.198045_55.950784,-3.198045,55.951,-3.198285_55.951,-3.198285,55.950728,-3.199084_55.950728,-3.199084,55.950589,-3.200116_55.950589,-3.200116,55.950266,-3.202026_55.950266,-3.202026,55.949914,-3.202477_55.949914,-3.202477,55.950031,-3.202841"
8 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/4e8e376bb9684dc8a11b0f904f235b60.1c,Any Order,Banner,Edinburgh Banner,8,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.94914,-3.181376&z=16&pls=55.949458,-3.193186,55.949458,-3.193101_55.949458,-3.193101,55.949572,-3.192333_55.949572,-3.192333,55.949629,-3.191826_55.949629,-3.191826,55.949462,-3.191429_55.949462,-3.191429,55.949526,-3.190925_55.949526,-3.190925,55.949519,-3.190011_55.949519,-3.190011,55.949663,-3.190264_55.949663,-3.190264,55.949783,-3.189962_55.949783,-3.189962,55.95002,-3.190268_55.95002,-3.190268,55.95004,-3.189366_55.95004,-3.189366,55.949857,-3.189013_55.949857,-3.189013,55.949765,-3.187836_55.949765,-3.187836,55.949896,-3.187979_55.949896,-3.187979,55.950059,-3.187816_55.950059,-3.187816,55.950101,-3.187288_55.950101,-3.187288,55.950339,-3.187014_55.950339,-3.187014,55.950479,-3.186043_55.950479,-3.186043,55.950501,-3.185324_55.950501,-3.185324,55.950578,-3.184978_55.950578,-3.184978,55.950786,-3.183527_55.950786,-3.183527,55.950807,-3.183066_55.950807,-3.183066,55.950924,-3.181867_55.950924,-3.181867,55.95101,-3.181342_55.95101,-3.181342,55.951239,-3.180769_55.951239,-3.180769,55.951432,-3.180174_55.951432,-3.180174,55.951421,-3.179473_55.951421,-3.179473,55.951633,-3.179022_55.951633,-3.179022,55.951474,-3.178233_55.951474,-3.178233,55.952026,-3.177876_55.952026,-3.177876,55.952172,-3.176964_55.952172,-3.176964,55.951924,-3.176555_55.951924,-3.176555,55.952131,-3.176426_55.952131,-3.176426,55.952306,-3.175824_55.952306,-3.175824,55.952501,-3.175715_55.952501,-3.175715,55.952359,-3.175461_55.952359,-3.175461,55.952554,-3.174008_55.952554,-3.174008,55.952257,-3.174327_55.952257,-3.174327,55.951844,-3.173099_55.951844,-3.173099,55.951969,-3.172772_55.951969,-3.172772,55.951601,-3.172763"
